SECTION,TYPE,CATEGORY,ELEMENT,VALUE,UNIT
Carbon Impact,Embodied Carbon Emissions,Aggregate Asphalt Hardscape,Asphalt unit paving,1956500,kgCO₂e
Carbon Impact,Embodied Carbon Emissions,Aggregate Asphalt Hardscape,Asphalt Paving,18919,kgCO₂e
Carbon Impact,Embodied Carbon Emissions,Aggregate Asphalt Hardscape,Gravel Pavement (needs binder),49,kgCO₂e
Carbon Impact,Embodied Carbon Emissions,Aggregate Asphalt Hardscape,Binder for Crushed Stone or Aggregate Pavement,441,kgCO₂e
Carbon Impact,Embodied Carbon Emissions,Aggregate Asphalt Hardscape,Crushed Stone Paving (Decomposed Granite),463,kgCO₂e
Carbon Impact,Embodied Carbon Emissions,Aggregate Asphalt Hardscape,Compacted Aggregate Base,125054,kgCO₂e
Carbon Impact,Embodied Carbon Emissions,Aggregate Asphalt Hardscape,Compacted Aggregate Base,16143,kgCO₂e
Carbon Impact,Embodied Carbon Emissions,Aggregate Asphalt Hardscape,ROMEX Polymer-enhanced cementitious bond layer,32240,kgCO₂e
Carbon Impact,Embodied Carbon Emissions,Brick Stone Hardscape,Stone Paving or Pavers,17506,kgCO₂e
Carbon Impact,Embodied Carbon Emissions,Brick Stone Hardscape,Stone Curb,27,kgCO₂e
Carbon Impact,Embodied Carbon Emissions,Brick Stone Hardscape,Stone Paving or Pavers,2121,kgCO₂e
Carbon Impact,Embodied Carbon Emissions,Brick Stone Hardscape,Stone Paving or Pavers,170689,kgCO₂e
Carbon Impact,Embodied Carbon Emissions,Brick Stone Hardscape,Mortar,14399,kgCO₂e
Carbon Impact,Embodied Carbon Emissions,Brick Stone Hardscape,Stone Curb,712,kgCO₂e
Carbon Impact,Embodied Carbon Emissions,Concrete Hardscape,Cast-in-Place Concrete Paving,6526,kgCO₂e
Carbon Impact,Embodied Carbon Emissions,Concrete Hardscape,Cast-in-Place Concrete Paving,495242,kgCO₂e
Carbon Impact,Embodied Carbon Emissions,Concrete Hardscape,Cast-in-Place Concrete Paving,45472,kgCO₂e
Carbon Impact,Embodied Carbon Emissions,Concrete Hardscape,Precast Concrete Pavement,54325,kgCO₂e
Carbon Impact,Embodied Carbon Emissions,Concrete Hardscape,Cast-in-Place Concrete Mow Curb,305,kgCO₂e
Carbon Impact,Embodied Carbon Emissions,Concrete Hardscape,Cast-in-Place Concrete Subslab,578923,kgCO₂e
Carbon Impact,Embodied Carbon Emissions,Concrete Hardscape,Cast-in-Place Concrete Subslab,2315691,kgCO₂e
Carbon Impact,Embodied Carbon Emissions,Infrastructure Subsurface,Sand,690,kgCO₂e
Carbon Impact,Embodied Carbon Emissions,Infrastructure Subsurface,Geotextile - Woven,21196,kgCO₂e
Carbon Impact,Embodied Carbon Emissions,Metal Wood Hardscape,Wood Decking Structure - Low,2910,kgCO₂e
Carbon Impact,Biogenic (Sequestration + Emissions),Perennials Perennial Grasses,Perennials / Perennial Grasses,-5572943,kgCO₂e
Carbon Impact,Biogenic (Sequestration + Emissions),Shrubs,Deciduous Large Shrub,-18471,kgCO₂e
Carbon Impact,Biogenic (Sequestration + Emissions),Shrubs,Deciduous Medium Shrub,-25540,kgCO₂e
Carbon Impact,Biogenic (Sequestration + Emissions),Shrubs,Deciduous Small Shrub,-3832,kgCO₂e
Carbon Impact,Biogenic (Sequestration + Emissions),Shrubs,Evergreen Large Shrub,-319,kgCO₂e
Carbon Impact,Biogenic (Sequestration + Emissions),Shrubs,Evergreen Medium Shrub,650,kgCO₂e
Carbon Impact,Biogenic (Sequestration + Emissions),Shrubs,Evergreen Small Shrub,1235,kgCO₂e
Carbon Impact,Biogenic (Sequestration + Emissions),Trees,Deciduous Large Tree,-315554,kgCO₂e
Carbon Impact,Biogenic (Sequestration + Emissions),Trees,Deciduous Medium Tree,-22647,kgCO₂e
Carbon Impact,Biogenic (Sequestration + Emissions),Trees,Deciduous Small Tree,-13719,kgCO₂e
Carbon Impact,Biogenic (Sequestration + Emissions),Trees,Evergreen Large Tree,-1567,kgCO₂e
Carbon Impact,Biogenic (Sequestration + Emissions),Trees,Evergreen Medium Tree,-1147,kgCO₂e
Carbon Impact,Biogenic (Sequestration + Emissions),Trees,Evergreen Small Tree,-133,kgCO₂e
Carbon Impact,Biogenic (Sequestration + Emissions),Trees,Deciduous Large Tree,-3121,kgCO₂e
Carbon Impact,Biogenic (Sequestration + Emissions),Trees,Deciduous Small Tree,-228,kgCO₂e
Benefits,Biodiversity,Ecosystem Protection,Native Ecosystems Protected,0,%
Benefits,Biodiversity,Ecosystem Protection,Native Ecosystems Removed,0,%
Benefits,Biodiversity,Biodiversity Net Impact,Native Ecosystem Impact,0,%
Benefits,Biodiversity,Biodiversity Net Impact,Native Ecosystem Restored,0,m2
Benefits,Biodiversity,Biodiversity Net Impact,Native Ecosystem Removed,0,m2
Benefits,Biodiversity,Biodiversity Net Impact,Native Planting Impact,0,%
Benefits,Biodiversity,Biodiversity Net Impact,Native Tres Planted,781,%
Benefits,Biodiversity,Biodiversity Net Impact,Native Trees Removed,0,
Benefits,Biodiversity,Biodiversity Net Impact,Native Shrubs Planted,0,
Benefits,Biodiversity,Biodiversity Net Impact,Native Perennials Planted,120733,m2
Benefits,Water,Evapotranspiration,Average Annual Potential Evapotranspiration (ETo),1490,mm/yr
Benefits,Water,Landscape Water Use,Total Planted Area,0,m²
Benefits,Water,Landscape Water Use,Annual Baseline,0,L/y
Benefits,Water,Landscape Water Use,Maximum Water Allowance,0,L/yr
Benefits,Water,Landscape Water Use,Annual Site Water Usage,0,L/yr
Benefits,Water,Landscape Water Use,Reduction From Baseline,0,%
Benefits,Cooling,Heat Island,Severe Heat Area,0,
Benefits,Cooling,Shade,Broad Biome,0,
Benefits,Cooling,Shade,Total Area Shaded By Trees,46671,m²
Benefits,Cooling,Shade,Percentage of Site Shaded By Trees,80,%
Benefits,Cooling,Shade,Total Area of Shade Structures,0,m²
Benefits,Cooling,Shade,Percent of Area Shaded by Structures,0,%
Benefits,Equity,Overburdened and Underserved Communities,Underserved Community,0,
Benefits,Equity,Overburdened and Underserved Communities,Community Engagement,0,
